type,dateCreated,dateModified,displayOrder,ID,isActive,name
_AdminOffice,NULL,NULL,NULL,COI,1,
_AdminOffice,2014-12-10 17:03:00.000,2018-03-02 22:33:00.000,NULL,IACUC,1,
_AdminOffice,2015-01-17 00:52:00.000,2019-07-31 22:35:00.000,NULL,University IRB,1,
_AdminOffice,2015-05-18 20:42:00.000,2019-07-31 22:35:00.000,NULL,Medical Center IRB,1,
_AdminOffice,2015-05-27 22:37:00.000,2015-05-27 23:24:00.000,NULL,Safety,1,
_AdminOffice,2019-08-21 19:04:00.000,2019-08-21 19:36:00.000,NULL,Campus 1 IACUC,1,
_AncillaryReviewSEL,NULL,NULL,NULL,00000001,1,
_AncillaryReviewSEL,NULL,NULL,NULL,00000002,1,
_AncillaryReviewSEL,NULL,NULL,NULL,00000003,1,
_AncillaryReviewSEL,NULL,NULL,NULL,00000004,1,
_AncillaryReviewSEL,NULL,NULL,NULL,00000005,1,
_AncillaryReviewSEL,NULL,NULL,NULL,00000006,1,
_AncillaryReviewSEL,NULL,NULL,NULL,00000007,1,
_AncillaryReviewSEL,NULL,NULL,NULL,00000012,1,
_AncillaryReviewSEL,NULL,NULL,NULL,00000013,1,
_AncillaryReviewSEL,NULL,NULL,NULL,00000014,1,
_AncillaryReviewSEL,NULL,NULL,NULL,00000015,1,
_AncillaryReviewSEL,NULL,NULL,NULL,ID00000001,1,
_AncillaryReviewSEL,NULL,NULL,NULL,ID00000002,1,
_AncillaryReviewSEL,NULL,NULL,NULL,ID00000003,1,
_AncillaryReviewSEL,NULL,NULL,NULL,ID00000004,1,
_AncillaryReviewSEL,NULL,NULL,NULL,ID00000007,1,
_AncillaryReviewSEL,NULL,NULL,NULL,ID00000008,1,
_AncillaryReviewSEL,NULL,NULL,NULL,ID00000009,1,
_AncillaryReviewSEL,NULL,NULL,NULL,ID00000010,1,
_AncillaryReviewSEL,NULL,NULL,NULL,ID00000012,1,
_AncillaryReviewSEL,NULL,NULL,NULL,ID00000014,1,
_AncillaryReviewSEL,NULL,NULL,NULL,ID00000018,1,
_AncillaryReviewSEL,NULL,NULL,NULL,ID00000019,1,
_AncillaryReviewSEL,NULL,NULL,NULL,ID00000020,1,
_AncillaryReviewSEL,NULL,NULL,NULL,ID00000023,1,
_AncillaryReviewSEL,NULL,NULL,NULL,ID00000028,1,
_AncillaryReviewSEL,NULL,NULL,NULL,ID00000029,1,
_AncillaryReviewSEL,NULL,NULL,NULL,ID00000040,1,
_AncillaryReviewSEL,NULL,NULL,NULL,ID00000041,1,
_AncillaryReviewSEL,NULL,NULL,NULL,ID00000043,1,
_AncillaryReviewSEL,NULL,NULL,NULL,ID00000044,1,
_AncillaryReviewSEL,NULL,NULL,NULL,ID00000045,1,
_AncillaryReviewSEL,NULL,NULL,NULL,ID00000046,1,
_AncillaryReviewSEL,NULL,NULL,NULL,ID00000047,1,
_AncillaryReviewSEL,NULL,NULL,NULL,ID00000051,1,
_AncillaryReviewSEL,NULL,NULL,NULL,ID00000052,1,
_AncillaryReviewSEL,NULL,NULL,NULL,ID00000053,1,
_AncillaryReviewSEL,NULL,NULL,NULL,ID00000054,1,
_AncillaryReviewSEL,NULL,NULL,NULL,ID00000056,1,
_AncillaryReviewSEL,NULL,NULL,NULL,ID00000057,1,
_AncillaryReviewSEL,NULL,NULL,NULL,ID00000058,1,
_AncillaryReviewSEL,NULL,NULL,NULL,ID00000059,1,
_AncillaryReviewSEL,NULL,NULL,NULL,ID00000060,1,
_AncillaryReviewSEL,NULL,NULL,NULL,ID00000064,1,
_AncillaryReviewSEL,NULL,NULL,NULL,ID00000067,1,
_AncillaryReviewSEL,NULL,NULL,NULL,ID00000068,1,
_AncillaryReviewSEL,NULL,NULL,NULL,ID00000071,1,
